cnes,hospital,codigo_ibge,municipio,regiao_covid,codigo_regiao_covid,LATITUDE,LONGITUDE,data_atualizacao,leitos_total,leitos_internacoes,leitos_covid,lotacao,leitos_disponiveis,semana_epidemiologica
2244187,Hospital De Mata,4312104,Mata,SANTA MARIA - R01 R02,1,-29.56561,-54.46179,2020-04-28,0,0,0,NA,0,18
2244187,Hospital De Mata,4312104,Mata,SANTA MARIA - R01 R02,1,-29.56561,-54.46179,2020-04-29,0,0,0,NA,0,18
2244187,Hospital De Mata,4312104,Mata,SANTA MARIA - R01 R02,1,-29.56561,-54.46179,2020-04-30,0,0,0,NA,0,18
2244187,Hospital De Mata,4312104,Mata,SANTA MARIA - R01 R02,1,-29.56561,-54.46179,2020-05-01,0,0,0,NA,0,18
2244187,Hospital De Mata,4312104,Mata,SANTA MARIA - R01 R02,1,-29.56561,-54.46179,2020-05-02,0,0,0,NA,0,18
2244187,Hospital De Mata,4312104,Mata,SANTA MARIA - R01 R02,1,-29.56561,-54.46179,2020-05-03,0,0,0,NA,0,19
2244187,Hospital De Mata,4312104,Mata,SANTA MARIA - R01 R02,1,-29.56561,-54.46179,2020-05-04,0,0,0,NA,0,19
2244187,Hospital De Mata,4312104,Mata,SANTA MARIA - R01 R02,1,-29.56561,-54.46179,2020-05-05,0,0,0,NA,0,19
2244187,Hospital De Mata,4312104,Mata,SANTA MARIA - R01 R02,1,-29.56561,-54.46179,2020-05-06,0,0,0,NA,0,19
2244187,Hospital De Mata,4312104,Mata,SANTA MARIA - R01 R02,1,-29.56561,-54.46179,2020-05-07,0,0,0,NA,0,19
2244187,Hospital De Mata,4312104,Mata,SANTA MARIA - R01 R02,1,-29.56561,-54.46179,2020-05-08,0,0,0,NA,0,19
2244187,Hospital De Mata,4312104,Mata,SANTA MARIA - R01 R02,1,-29.56561,-54.46179,2020-05-09,0,0,0,NA,0,19
2244187,Hospital De Mata,4312104,Mata,SANTA MARIA - R01 R02,1,-29.56561,-54.46179,2020-05-10,0,0,0,NA,0,20
2244187,Hospital De Mata,4312104,Mata,SANTA MARIA - R01 R02,1,-29.56561,-54.46179,2020-05-11,0,0,0,NA,0,20
2244187,Hospital De Mata,4312104,Mata,SANTA MARIA - R01 R02,1,-29.56561,-54.46179,2020-05-12,0,0,0,NA,0,20
2244187,Hospital De Mata,4312104,Mata,SANTA MARIA - R01 R02,1,-29.56561,-54.46179,2020-05-13,0,0,0,NA,0,20
2244187,Hospital De Mata,4312104,Mata,SANTA MARIA - R01 R02,1,-29.56561,-54.46179,2020-05-14,0,0,0,NA,0,20
2244187,Hospital De Mata,4312104,Mata,SANTA MARIA - R01 R02,1,-29.56561,-54.46179,2020-05-15,0,0,0,NA,0,20
2244187,Hospital De Mata,4312104,Mata,SANTA MARIA - R01 R02,1,-29.56561,-54.46179,2020-05-16,0,0,0,NA,0,20
2244187,Hospital De Mata,4312104,Mata,SANTA MARIA - R01 R02,1,-29.56561,-54.46179,2020-05-17,0,0,0,NA,0,21
2244187,Hospital De Mata,4312104,Mata,SANTA MARIA - R01 R02,1,-29.56561,-54.46179,2020-05-18,0,0,0,NA,0,21
