"Últ Atualização","Região Covid","Município","Cód IBGE","Município","Leitos","Pacientes","Taxa Ocupação","Confirmados","Suspeitos"
"25/06/2020 00:00","Pelotas - R21","São Lourenço Do Sul","2233312","Santa Casa De Miseric S Lourenco Do Sul","0","0","-","0","0"
"25/06/2020 00:00","Cachoeira Do Sul - R27","Encruzilhada Do Sul","2234432","Hospital Santa Barbara","0","0","-","0","0"
"25/06/2020 00:00","Passo Fundo - R17 R18 R19","Marau","2246953","Hospital Cristo Redentor Marau","0","0","-","0","0"
"25/06/2020 00:00","Passo Fundo - R17 R18 R19","Lagoa Vermelha","3819590","Hospital Sao Paulo","0","0","-","0","0"
"25/06/2020 00:00","Pelotas - R21","Jaguarão","2233401","Santa Casa De Caridade Jaguarao","0","0","-","0","0"
"25/06/2020 00:00","Cruz Alta - R12","Quinze De Novembro","2263831","Associacao Hospitalar 15 De Novembro","0","0","-","0","0"
"25/06/2020 00:00","Pelotas - R21","São José Do Norte","2233355","Hospital Municipal Sao Jose Do Norte","0","0","-","0","0"
"25/06/2020 00:00","Canoas - R08","Triunfo","2227673","Hospital De Caridade Santa Rita","0","0","-","0","0"
"25/06/2020 00:00","Palmeira Das Missoes - R15 R20","Sarandi","2235404","Hospital Comunitario Sarandi","0","0","-","0","0"
"25/06/2020 00:00","Cachoeira Do Sul - R27","Sobradinho","9016554","Hospital Sao Joao Evangelista","0","0","-","0","0"
"25/06/2020 00:00","Caxias Do Sul - R23 R24 R25 R26","Antônio Prado","2241072","Hospital Sao Jose","0","0","-","0","0"
"25/06/2020 00:00","Palmeira Das Missoes - R15 R20","Coronel Bicaco","2235382","Assoc Hosp Santo Antonio De Padua","0","0","-","0","0"
"25/06/2020 00:00","Caxias Do Sul - R23 R24 R25 R26","São Marcos","3228630","Hospital Dr Stich","0","0","-","0","0"
"25/06/2020 06:03","Ijui - R13","Panambi","2254956","Hospital Panambi","0","0","-","0","0"
"25/06/2020 06:21","Canoas - R08","Canoas","3508528","Hospital Universitario","40","32","80%","10","7"
"25/06/2020 06:35","Lajeado - R29 R30","Progresso","2252082","Hospital Santa Isabel Progresso","0","0","-","0","0"
"25/06/2020 07:11","Lajeado - R29 R30","Encantado","2252228","Hospital Santa Teresinha Encantado","5","1","20%","1","0"
"25/06/2020 07:12","Lajeado - R29 R30","Arroio Do Meio","2252198","Hospital Sao Jose Arroio Do Meio","0","0","-","0","0"
"25/06/2020 07:12","Cruz Alta - R12","Salto Do Jacuí","2263882","Hospital Municipal Dr Aderbal Schneider","0","0","-","0","0"
"25/06/2020 07:14","Palmeira Das Missoes - R15 R20","Jaboticaba","2235315","Hospital Santa Rita D Jaboticaba","0","0","-","0","0"
"25/06/2020 07:15","Ijui - R13","Crissiumal","2708000","Hospital De Caridade De Crissiumal","0","0","-","0","0"
"25/06/2020 07:18","Taquara - R06","Rolante","2257564","Fundacao Hospitalar De Rolante","0","0","-","0","0"
"25/06/2020 07:21","Santa Maria - R01 R02","São Francisco De Assis","2244330","Hospital Santo Antonio","0","0","-","0","0"
"25/06/2020 07:22","Taquara - R06","Igrejinha","2227665","Hospital Bom Pastor","0","0","-","0","0"
"25/06/2020 07:25","Erechim - R16","Erechim","2249669","Hospital Unimed Erechim","0","0","-","0","0"
"25/06/2020 07:33","Passo Fundo - R17 R18 R19","Passo Fundo","2246929","Hospital De Clinicas De Passo Fundo","43","31","72.1%","12","2"
"25/06/2020 07:41","Caxias Do Sul - R23 R24 R25 R26","Caxias Do Sul","2223570","Hospital Do Circulo","20","9","45%","3","2"
"25/06/2020 07:44","Santa Rosa - R14","Cândido Godói","2250675","Hospital Santo Afonso","0","0","-","0","0"
"25/06/2020 07:47","Ijui - R13","Augusto Pestana","2261081","Hospital Sao Francisco","0","0","-","0","0"
"25/06/2020 07:54","Capao Da Canoa - R04 R05","Osório","2257815","Hospital Sao Vicente De Paulo","10","6","60%","5","1"
"25/06/2020 07:54","Santa Rosa - R14","Três De Maio","2250837","Hospital Sao Vicente De Paulo","6","6","100%","0","0"
"25/06/2020 07:54","Santa Maria - R01 R02","Pinhal Grande","2244209","Casa De Saude Sao Jose","0","0","-","0","0"
"25/06/2020 07:55","Bage - R22","Bagé","2261995","Hospital Universitario Urcamp","0","0","-","0","0"
"25/06/2020 07:56","Taquara - R06","Cambará Do Sul","5602742","Fundacao Hospitalar Sao Jose","0","0","-","0","0"
"25/06/2020 07:57","Erechim - R16","Aratiba","2249502","Acha Aratiba","0","0","-","0","0"
"25/06/2020 07:59","Novo Hamburgo - R07","Dois Irmãos","6844138","Hospital Sao Jose De Dois Irmaos Ibsaude","0","0","-","0","0"
"25/06/2020 08:05","Lajeado - R29 R30","Teutônia","2252244","Hospital Ouro Branco","0","0","-","0","0"
"25/06/2020 08:07","Passo Fundo - R17 R18 R19","Serafina Corrêa","2260050","Hospital Nossa Senhora Do Rosario","0","0","-","0","0"
"25/06/2020 08:11","Cruz Alta - R12","Ibirubá","5395674","Hospital Annes Dias","0","0","-","0","0"
"25/06/2020 08:13","Pelotas - R21","Pelotas","2253054","Santa Casa De Misericordia De Pelotas","17","15","88.2%","0","0"
"25/06/2020 08:15","Uruguaiana - R03","Quaraí","2248247","Fundacao Hospitalar De Caridade De Quarai","0","0","-","0","0"
"25/06/2020 08:15","Santa Rosa - R14","Horizontina","7607547","Associacao Beneficente Oswaldo Cruz De Horizontina","0","0","-","0","0"
"25/06/2020 08:15","Novo Hamburgo - R07","Campo Bom","2232073","Hospital De Campo Bom Dr Lauro Reus","10","9","90%","4","1"
"25/06/2020 08:17","Caxias Do Sul - R23 R24 R25 R26","Gramado","2241153","Hospital Arcanjo Sao Miguel","18","10","55.6%","3","0"
"25/06/2020 08:19","Santa Rosa - R14","Boa Vista Do Buricá","2250705","Hospital De Caridade Boa Vista","0","0","-","0","0"
"25/06/2020 08:29","Santa Rosa - R14","Santa Rosa","2254611","Hospital Vida Saude","10","10","100%","0","0"
"25/06/2020 08:30","Santo Angelo - R11","São Borja","2248298","Hospital Infantil","12","5","41.7%","0","0"
"25/06/2020 08:30","Santa Maria - R01 R02","Paraíso Do Sul","2234467","Unidade Mista Hospital Paraiso","0","0","-","0","0"
"25/06/2020 08:31","Porto Alegre - R09 R10","Camaquã","2257548","Hospital Nossa Senhora Aparecida De Camaqua","0","0","-","0","0"
"25/06/2020 08:33","Santa Maria - R01 R02","Santa Maria","2244365","Hospital Da Base Aerea","0","0","-","0","0"
"25/06/2020 08:35","Ijui - R13","Pejuçara","2261138","Hospital Pejucara","0","0","-","0","0"
"25/06/2020 08:35","Ijui - R13","Ijuí","2261030","Hospital Bom Pastor Ijui","0","0","-","0","0"
"25/06/2020 08:36","Caxias Do Sul - R23 R24 R25 R26","Garibaldi","2257645","Hospital Sao Pedro","10","3","30%","3","0"
"25/06/2020 08:37","Porto Alegre - R09 R10","Guaíba","6131913","Hospital Unimed","6","0","0%","0","0"
"25/06/2020 08:42","Lajeado - R29 R30","Roca Sales","2252147","Sociedade Beneficente Roque Gonzales","0","0","-","0","0"
"25/06/2020 08:43","Erechim - R16","Getúlio Vargas","2249510","Hospital Sao Roque De Getulio Vargas","0","0","-","0","0"
"25/06/2020 08:43","Caxias Do Sul - R23 R24 R25 R26","Caxias Do Sul","2223546","Hospital Pompeia","30","23","76.7%","2","2"
"25/06/2020 08:44","Erechim - R16","Nonoai","2228688","Hospital Comunitario Nonoai","0","0","-","0","0"
"25/06/2020 08:44","Santa Rosa - R14","Giruá","2260069","Hospital Sao Jose","0","0","-","0","0"
"25/06/2020 08:45","Pelotas - R21","Arroio Grande","2233428","Santa Casa De Misericordia De Arroio Grande","0","0","-","0","0"
"25/06/2020 08:46","Novo Hamburgo - R07","São Leopoldo","2232022","Hospital Centenario","11","11","100%","4","5"
"25/06/2020 08:46","Capao Da Canoa - R04 R05","Santo Antônio Da Patrulha","6389104","Hospital De Santo Antonio Da Patrulha","0","0","-","0","0"
"25/06/2020 08:50","Cruz Alta - R12","Selbach","2238810","Hospital Sao Jacob","0","0","-","0","0"
"25/06/2020 08:51","Lajeado - R29 R30","Putinga","2252171","Hospital Doutor Oscar Benevolo","0","0","-","0","0"
"25/06/2020 08:52","Lajeado - R29 R30","Anta Gorda","9309470","Hospital Padre Catelli","0","0","-","0","0"
"25/06/2020 08:53","Passo Fundo - R17 R18 R19","Sertão","2246805","Hospital Sao Jose Sertao","0","0","-","0","0"
"25/06/2020 09:00","Pelotas - R21","Pelotas","2253690","Clinicanp","6","5","83.3%","0","0"
"25/06/2020 09:01","Capao Da Canoa - R04 R05","Palmares Do Sul","2224607","Hospital Sao Jose","0","0","-","0","0"
